problem,n_obj,algorithm,decomp,hv,spread,nd_size,n_experiments
DTLZ1,3,CCSPEA2,100_100,445624565192.7135,1.6951736467481395,37.4,5
DTLZ1,3,CCNSGA2,100_100,288014484135.841,1.6657055752202303,30.416666666666668,12
DTLZ1,3,CCMOEAD,100_100,489032911912.33105,1.7110275535641872,37.8,5
DTLZ1,3,FSPEA2,100_80,439077010160.2861,1.7027770571582401,36.8,5
DTLZ1,3,FNSGA2,100_80,280985274990.66547,1.6492808461593609,40.86666666666667,15
DTLZ1,3,FMOEAD,100_80,437388984017.5239,1.732050807568877,43.833333333333336,6
DTLZ1,3,CCSPEA2,classic_random_100,527279601928.10333,1.7320508075688772,47.0,5
DTLZ1,3,CCNSGA2,classic_random_100,527279601928.10333,1.7320508075688772,47.0,5
DTLZ1,3,CCMOEAD,classic_random_100,527279601928.10333,1.7320508075688772,47.0,5
DTLZ2,3,CCSPEA2,100_100,990965260594.196,1.553527975395915,40.6,10
DTLZ2,3,CCNSGA2,100_100,997824729568.0771,1.6863874290267222,33.9,10
DTLZ2,3,CCMOEAD,100_100,999815704196.6409,1.7287401450907562,38.2,10
DTLZ2,3,FSPEA2,100_80,999913519969.569,1.7109096462486995,9.5,10
DTLZ2,3,FNSGA2,100_80,999999755500.6917,1.732042593889637,7.9,10
DTLZ2,3,FMOEAD,100_80,999999869118.764,1.7320508075688772,11.3,10
DTLZ2,3,CCSPEA2,classic_random_100,993442208064.1963,1.5976957259086655,41.0,5
DTLZ2,3,CCNSGA2,classic_random_100,999733632395.0824,1.7278216810962994,37.0,5
DTLZ2,3,CCMOEAD,classic_random_100,999314721362.3049,1.7184964468710366,39.2,5
DTLZ3,3,CCSPEA2,100_100,0.0,1.5661415028932073,40.6,10
DTLZ3,3,CCNSGA2,100_100,0.0,1.7320508075688772,31.1,10
DTLZ3,3,CCMOEAD,100_100,0.0,1.7028630305595747,37.0,10
DTLZ3,3,FSPEA2,100_80,0.0,1.601337498878968,38.3,10
DTLZ3,3,FNSGA2,100_80,0.0,1.7320508075688772,32.3,10
DTLZ3,3,FMOEAD,100_80,0.0,1.7320508075688772,36.0,10
DTLZ3,3,CCSPEA2,classic_random_100,0.0,1.6718757433626812,40.4,5
DTLZ3,3,CCNSGA2,classic_random_100,0.0,1.7320508075688767,35.0,5
DTLZ3,3,CCMOEAD,classic_random_100,0.0,1.7125475343630305,37.0,5
DTLZ4,3,CCSPEA2,100_100,994623928115.7695,nan,19.0,5
DTLZ4,3,CCNSGA2,100_100,997263121378.3131,nan,17.0,5
DTLZ4,3,CCMOEAD,100_100,994611474877.359,nan,13.8,5
DTLZ4,3,FSPEA2,100_80,999803763395.5658,1.704709555168773,10.4,5
DTLZ4,3,FNSGA2,100_80,999969640450.3119,nan,7.6,5
DTLZ4,3,FMOEAD,100_80,999817000144.3972,1.689548520726041,7.8,5
DTLZ4,3,CCSPEA2,classic_random_100,996994518201.4392,nan,29.8,5
DTLZ4,3,CCNSGA2,classic_random_100,999689266544.5795,1.7264017559537652,37.8,5
DTLZ4,3,CCMOEAD,classic_random_100,998847977645.4861,nan,31.4,5
DTLZ5,3,CCSPEA2,100_100,987899478702.5463,1.5044922878744882,40.6,5
DTLZ5,3,CCNSGA2,100_100,998590292377.4753,1.7031597803133525,33.0,5
DTLZ5,3,CCMOEAD,100_100,999856137934.4957,1.7303030512057205,33.4,5
DTLZ5,3,FSPEA2,100_80,999519597005.7299,1.659418739117998,9.8,5
DTLZ5,3,FNSGA2,100_80,999932365959.9226,1.722275829200847,7.4,5
DTLZ5,3,FMOEAD,100_80,999999331249.3057,1.7320508075688772,19.6,5
DTLZ5,3,CCSPEA2,classic_random_100,990922210415.4724,1.551998279795345,40.8,5
DTLZ5,3,CCNSGA2,classic_random_100,999170861166.6055,1.716615879259718,39.6,5
DTLZ5,3,CCMOEAD,classic_random_100,999522040944.4717,1.7220677490038034,39.6,5
DTLZ6,3,CCSPEA2,100_100,999906318637.6741,1.1859278125911428,9.6,5
DTLZ6,3,CCNSGA2,100_100,999999987240.7659,1.7320508075688772,5.6,5
DTLZ6,3,CCMOEAD,100_100,999999987226.6481,1.7320508075688772,12.0,5
DTLZ6,3,FSPEA2,100_80,999937379214.7185,1.2750470276610226,18.4,5
DTLZ6,3,FNSGA2,100_80,999999987179.5898,1.7320508075688772,5.6,5
DTLZ6,3,FMOEAD,100_80,999999987509.4543,1.7320508075688772,13.6,5
DTLZ6,3,CCSPEA2,classic_random_100,999950405167.3008,1.3597735502080446,12.8,5
DTLZ6,3,CCNSGA2,classic_random_100,999999987036.8258,1.7320508075688772,7.6,5
DTLZ6,3,CCMOEAD,classic_random_100,999999987222.8597,1.7320508075688772,15.6,5
DTLZ7,3,CCSPEA2,100_100,999690019726.0316,1.4951595560720705,40.6,5
DTLZ7,3,CCNSGA2,100_100,999544130027.1228,1.4366981538658599,31.4,5
DTLZ7,3,CCMOEAD,100_100,999673865182.3333,1.488803627858408,33.2,5
DTLZ7,3,FSPEA2,100_80,999673134034.5271,1.4866869842318151,36.8,5
DTLZ7,3,FNSGA2,100_80,999555321630.0881,1.437823182571973,40.6,5
DTLZ7,3,FMOEAD,100_80,999730861331.124,1.5179934601853724,40.2,5
DTLZ7,3,CCNSGA2,classic_random_100,999481710908.9008,1.4214819739837723,40.4,5
DTLZ7,3,CCMOEAD,classic_random_100,999732191301.4265,1.5188678623663123,39.6,5
