,Unnamed: 0,x,y,cell_id,field,size,grid,datused,farmer,year,prev_year,geometry,yld,var_yld,prev_yld,var_prev_yld,aa_n,var_aa_n,prev_aa_n,var_prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy_d,prec_py_d,gdd_cy_d,gdd_py_d,prec_cy_g,prec_py_g,gdd_cy_g,gdd_py_g,ndvi_cy_s,ndvi_py_s,ndvi_2py_s,ndvi_cy_l,ndvi_py_l,ndvi_2py_l,ndre_cy,ndre_py,ndre_2py,cire_cy,cire_py,cire_2py,ssm_cy,ssm_py,susm_cy,susm_py,grtgroup,texture0cm,texture10cm,texture30cm,texture60cm,texture100cm,texture200cm,bulkdensity0cm,bulkdensity10cm,bulkdensity30cm,bulkdensity60cm,bulkdensity100cm,bulkdensity200cm,claycontent0cm,claycontent10cm,claycontent30cm,claycontent60cm,claycontent100cm,claycontent200cm,sandcontent0cm,sandcontent10cm,sandcontent30cm,sandcontent60cm,sandcontent100cm,sandcontent200cm,phw0cm,phw10cm,phw30cm,phw60cm,phw100cm,phw200cm,watercontent0cm,watercontent10cm,watercontent30cm,watercontent60cm,watercontent100cm,watercontent200cm,carboncontent0cm,carboncontent10cm,carboncontent30cm,carboncontent60cm,carboncontent100cm,carboncontent200cm,aspect_cos,aspect_sin,musym,N
0,62834,639027.5738538145,5100658.32951358,10_51,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E6100000618947BDFE4C5BC0BEEEFEBCCE054740,85.07005,23.923788,56.54973,16.52101,120.02656,0.20516054,84.87684,100.0,2.7750735,1,1251.7819,0.5402832,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.10375379,0.74402547,0.6827458,0.16935015,0.87645745,0.8289633,-0.022415828,0.015625,-0.0051735286,0.15773956,3.5708861,2.5144994,13.216258,15.181467,88.85557,106.30424,139,7,4,4,4,7,7,146,146,153,156,157,155,27,28,31,29,26,25,27,28,31,29,26,25,7.5,7.6,7.8,7.9,8.0,8.0,23,23,23,23,23,22,2,2,1,1,1,1.0,-0.93358046,0.35836792,68,20
1,62835,639027.5738538165,5100698.329513579,14_51,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E610000039F4538CFE4C5BC033A87F87DA054740,80.85512,23.75501,43.970547,15.253966,119.27711,0.7427146,67.29165,2.1636474,2.4609141,2,1252.375,0.4468994,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.09821858,0.7656948,0.6692951,0.17174302,0.8817685,0.8063843,-0.007934385,0.010586867,-0.0066703116,0.18936709,3.5102565,2.3043869,13.216258,15.181467,88.85557,106.30424,272,7,4,4,4,7,7,146,146,153,156,157,156,27,28,30,29,27,25,27,28,30,29,27,25,7.3,7.3,7.5,7.6,7.8,7.7,22,22,23,21,21,21,2,2,2,1,1,1.0,-0.77714586,0.6293205,68,20
2,62950,639017.5738538152,5100678.329513581,12_50,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E610000006CCA7C2004D5BC0C7434AB3D4054740,,,,,119.32129,0.7217946,,,2.4609141,1,1252.2295,0.4683838,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.09280639,0.7641239,0.7006897,0.16935015,0.87645745,0.8289633,-0.01933975,0.013639627,-0.0080967285,0.14474328,3.4347274,2.2243817,13.216258,15.181467,88.85557,106.30424,272,7,4,4,4,7,7,146,146,153,156,157,156,27,28,30,29,27,25,27,28,30,29,27,25,7.3,7.3,7.5,7.6,7.8,7.7,22,22,23,21,21,21,2,2,2,1,1,1.0,-0.77714586,0.6293205,68,20
3,63072,639017.5738538147,5100668.329513581,11_50,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E6100000D275E4CE004D5BC08011AAC0D1054740,,,49.0025,0.033024494,120.13043,0.92825377,,,2.6005406,1,1252.0773,0.5109863,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.096545614,0.7604822,0.7070384,0.16935015,0.87645745,0.8289633,-0.014207068,0.011039886,-0.007194245,0.1644959,3.1783133,2.291038,13.216258,15.181467,88.85557,106.30424,272,7,4,4,4,7,7,146,146,153,156,157,156,27,28,30,29,27,25,27,28,30,29,27,25,7.3,7.3,7.5,7.6,7.8,7.7,22,22,23,21,21,21,2,2,2,1,1,1.0,-0.8571673,0.515038,68,20
4,63186,639017.5738538161,5100638.32951358,8_50,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E61000004D5C9AF3004D5BC07E75C9E8C8054740,79.6584,32.772476,63.010727,46.76063,119.693344,0.09556953,76.608925,100.0,2.6703537,1,1251.4113,0.45117188,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.09425593,0.75825316,0.7144184,0.16230367,0.8911729,0.8195342,-0.01077951,0.009311667,-0.0038614238,0.14878398,3.3065693,2.676641,13.216258,15.181467,88.85557,106.30424,139,7,4,4,4,7,7,146,146,153,156,157,155,27,28,31,29,26,25,27,28,31,29,26,25,7.5,7.6,7.8,7.9,8.0,8.0,23,23,23,23,23,22,2,2,1,1,1,1.0,-0.89100647,0.45399058,68,20
5,63187,639017.5738538164,5100628.329513579,7_50,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E6100000D4F6D6FF004D5BC0C43F29F6C5054740,68.3104,58.390713,64.753,225.16615,120.37527,0.90390086,71.53226,100.0,2.7750735,1,1251.2689,0.5220947,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.09984773,0.7941105,0.725607,0.16230367,0.8911729,0.8195342,-0.013135555,0.011685117,0.004510045,0.16535796,3.75,2.699334,13.216258,15.181467,88.85557,106.30424,139,7,4,4,4,7,7,146,146,153,156,157,155,27,28,31,29,26,25,27,28,31,29,26,25,7.5,7.6,7.8,7.9,8.0,8.0,23,23,23,23,23,22,2,2,1,1,1,1.0,-0.93358046,0.35836792,68,20
6,63383,639017.573853815,5100688.329513579,13_50,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E6100000691E6BB6004D5BC03475EAA5D7054740,,,,,119.60326,1.9508083,,,2.4085543,1,1252.4072,0.44909668,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.09537901,0.77669156,0.6989247,0.17174302,0.8817685,0.8063843,-0.01933975,0.013639627,-0.0080967285,0.14474328,3.4347274,2.2243817,13.216258,15.181467,88.85557,106.30424,272,7,4,4,4,7,7,146,146,153,156,157,156,27,28,30,29,27,25,27,28,30,29,27,25,7.3,7.3,7.5,7.6,7.8,7.7,22,22,23,21,21,21,2,2,2,1,1,1.0,-0.7431448,0.6691306,68,20
7,63397,639027.5738538164,5100678.32951358,12_51,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E610000070C6CDA4FE4C5BC0324D3FA2D4054740,80.90278,19.191765,45.91218,7.921445,120.235756,0.6407827,67.12326,7.3047028,2.3911011,1,1252.0627,0.48608398,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.096789315,0.76264083,0.66222644,0.16935015,0.87645745,0.8289633,-0.01933975,0.013639627,-0.0080967285,0.14474328,3.4347274,2.2243817,13.216258,15.181467,88.85557,106.30424,272,7,4,4,4,7,7,146,146,153,156,157,156,27,28,30,29,27,25,27,28,30,29,27,25,7.3,7.3,7.5,7.6,7.8,7.7,22,22,23,21,21,21,2,2,2,1,1,1.0,-0.73135376,0.6819983,68,20
8,63398,639037.573853815,5100658.329513579,10_52,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E6100000C8FA6D9FFC4C5BC0E4AEF3ABCE054740,63.341705,13.951539,58.812557,4.8949666,120.09345,0.64837253,,,2.7750735,1,1251.7389,0.55285645,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.09870436,0.7659906,0.6867039,0.17215686,0.8771166,0.7787065,-0.022415828,0.015625,-0.0051735286,0.15773956,3.5708861,2.5144994,13.216258,15.181467,88.85557,106.30424,139,7,4,4,4,7,7,146,146,153,156,157,155,27,28,31,29,26,25,27,28,31,29,26,25,7.5,7.6,7.8,7.9,8.0,8.0,23,23,23,23,23,22,2,2,1,1,1,1.0,-0.93358046,0.35836792,68,20
9,63415,639017.5738538159,5100658.329513579,10_50,sec35west,10,grid,decision_point,broyles,2020,2017,0101000020E6100000CC1B21DB004D5BC05BDE09CECE054740,75.108574,11.018626,57.53636,17.823963,119.86387,2.1980927,76.608925,100.0,2.7227137,1,1251.8944,0.5250244,36,616,,2186.75,68.1,579.2,142.55003,2181.6501,0.096345514,0.7505858,0.71708876,0.16935015,0.87645745,0.8289633,-0.014207068,0.011039886,-0.007194245,0.1644959,3.1783133,2.291038,13.216258,15.181467,88.85557,106.30424,139,7,4,4,4,7,7,146,146,153,156,157,155,27,28,31,29,26,25,27,28,31,29,26,25,7.5,7.6,7.8,7.9,8.0,8.0,23,23,23,23,23,22,2,2,1,1,1,1.0,-0.9135455,0.40673658,68,20
