,yl18_bu_ac,yl18_moist_pct,field,crop18,yl18_rm_code,yl16_nn_bu_ac,yl16_nn_dist_m,crop16,pro18_nn_pct,pro18_nn_dist_m,pro16_nn_pct,pro16_nn_dist_m,n18_lbs_ac,n16_lbs_ac,elev_m,slope_deg,aspect_cos,aspect_sin,tpi30,ndvi15,ndvi16,ndvi17,ndre15,ndre16,ndre17,clre15,clre16,clre17,ndvi18,prec2017ant,prec2018jul,prec2018mar,gdd2018mar,gdd2018jul,ndre18,clre18,x,y,n18_date,crop17,N
0,38.4366,11.5,henrys,hrww,0,49.76,1.6,ww,12.94,9.16,12.93,8.96,91.21,43.83,860.66,0.0,0.74,0.67,0.47,0.01,0.7,0.12,0.01,0.47,0.05,0.06,2.45,0.22,0.37,,,,56.11,1848.89,0.26,1.27,47.880757227860116,-110.54791906826014,2018-04-06,hrww,40
1,17.2096,11.4,henrys,hrww,0,44.33,0.25,ww,13.39,9.95,12.93,5.87,91.21,43.83,860.66,0.0,0.74,0.67,0.47,0.01,0.7,0.12,0.01,0.47,0.05,0.06,2.45,0.22,0.37,,,,56.11,1848.89,0.26,1.27,47.8807839828055,-110.5478972835353,2018-04-06,hrww,40
2,37.292,11.5,henrys,hrww,0,48.82,2.39,ww,12.94,8.68,14.98,8.08,91.21,43.83,860.73,0.0,0.72,0.69,0.51,0.01,0.69,0.13,0.01,0.45,0.05,0.04,2.24,0.21,0.34,,,,56.11,1848.89,0.25,1.08,47.88074429510125,-110.54793233242415,2018-04-06,hrww,40
3,24.5605,11.5,henrys,hrww,0,49.76,0.86,ww,12.94,10.02,12.93,7.39,91.21,43.83,860.66,0.0,0.74,0.67,0.47,0.01,0.7,0.12,0.01,0.47,0.05,0.06,2.45,0.22,0.37,,,,56.11,1848.89,0.26,1.27,47.88077043131894,-110.54790763371011,2018-04-06,hrww,40
4,38.6851,10.7,henrys,hrww,0,48.33,3.53,ww,12.94,8.7,14.98,6.48,91.21,43.83,860.73,0.0,0.72,0.69,0.51,0.01,0.69,0.13,0.01,0.45,0.05,0.04,2.24,0.21,0.34,,,,56.11,1848.89,0.25,1.08,47.88073276636523,-110.54794686337678,2018-04-06,hrww,40
5,51.1077,10.1,henrys,hrww,0,47.42,0.93,ww,11.32,8.22,12.02,9.77,89.13,44.17,860.56,0.0,0.77,0.64,0.52,0.01,0.65,0.13,0.01,0.44,0.05,0.05,2.18,0.2,0.38,,,,56.11,1848.89,0.26,1.31,47.88100235419874,-110.54790352259322,2018-04-06,hrww,40
6,60.9737,10.2,henrys,hrww,0,43.87,0.42,ww,11.32,0.8,13.73,6.75,89.13,43.04,860.51,0.0,0.81,0.59,0.52,0.01,0.65,0.13,0.01,0.42,0.04,0.05,2.03,0.21,0.38,,,,56.11,1848.89,0.24,1.06,47.88106913635912,-110.54790082599764,2018-04-06,hrww,40
7,64.6053,10.4,henrys,hrww,0,43.47,0.9,ww,11.32,2.66,13.73,8.6,89.13,43.04,860.56,0.0,0.77,0.64,0.52,0.01,0.65,0.13,0.01,0.44,0.05,0.05,2.18,0.2,0.38,,,,56.11,1848.89,0.26,1.31,47.881052668367786,-110.54790560255722,2018-04-06,hrww,40
8,51.7815,10.4,henrys,hrww,0,45.98,0.48,ww,11.32,10.03,12.02,11.03,89.13,44.17,860.56,0.0,0.77,0.64,0.52,0.01,0.65,0.13,0.01,0.44,0.05,0.05,2.18,0.2,0.38,,,,56.11,1848.89,0.26,1.31,47.88098602364734,-110.54789841604978,2018-04-06,hrww,40
9,58.1814,9.8,henrys,hrww,0,44.05,1.29,ww,11.32,6.37,12.02,8.85,89.13,44.17,860.56,0.0,0.77,0.64,0.52,0.01,0.65,0.13,0.01,0.44,0.05,0.05,2.18,0.2,0.38,,,,56.11,1848.89,0.26,1.31,47.88101918075176,-110.5479067715233,2018-04-06,hrww,40
