FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F10,10,0.1,3,"[(0, 1, 2, 5, 6, 8), (3, 7), (4, 9)]","[4, 9]"
F10,10,0.001,3,"[(0, 3, 6), (1, 7, 8), (2, 4, 5, 9)]","[2, 4, 5, 9]"
F10,10,1e-06,4,"[(0, 3, 6), (1, 7, 8), (2, 9), (4, 5)]","[4, 5]"
F10,10,1e-09,2,"[(0, 1, 2, 3, 5, 6, 7, 8), (4, 9)]","[4, 9]"
F10,20,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F10,20,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F10,20,1e-06,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F10,20,1e-09,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F10,30,0.1,7,"[(1, 7, 8, 16, 23, 26), (3, 21), (4, 10, 29), (13, 19, 25, 28), (17, 20, 24), (18, 27), (0, 2, 5, 6, 9, 11, 12, 14, 15, 22)]","[0, 2, 5, 6, 9, 11, 12, 14, 15, 22]"
F10,30,0.001,8,"[(0, 3, 6, 21), (1, 7, 8, 16, 23, 26), (4, 10, 29), (5, 12), (13, 19, 25, 28), (17, 20, 24), (18, 27), (2, 9, 11, 14, 15, 22)]","[2, 9, 11, 14, 15, 22]"
F10,30,1e-06,10,"[(0, 3, 6, 21), (1, 7, 8, 16, 23, 26), (2, 9), (4, 10, 29), (5, 12), (13, 19, 25, 28), (14, 15), (17, 20, 24), (18, 27), (11, 22)]","[11, 22]"
F10,30,1e-09,6,"[(0, 3, 6, 19, 21, 24), (1, 2, 7, 8, 9, 11, 12, 13, 16, 20, 23, 25, 26), (4, 10, 29), (5, 17, 28), (14, 15, 22), (18, 27)]",[]
