FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F17,10,0.1,3,"[(1, 6, 7), (2, 4, 8), (0, 3, 5, 9)]","[0, 3, 5, 9]"
F17,10,0.001,3,"[(1, 6, 7), (2, 4, 8), (0, 3, 5, 9)]","[0, 3, 5, 9]"
F17,10,1e-06,3,"[(1, 6, 7), (2, 4, 8), (0, 3, 5, 9)]","[0, 3, 5, 9]"
F17,10,1e-09,3,"[(1, 6, 7), (2, 4, 8), (0, 3, 5, 9)]","[0, 3, 5, 9]"
F17,20,0.1,6,"[(0, 3, 15), (1, 18, 19), (2, 4, 5), (6, 10, 17), (7, 9, 16), (8, 11, 12, 13, 14)]","[8, 11, 12, 13, 14]"
F17,20,0.001,6,"[(0, 3, 15), (1, 18, 19), (2, 4, 5), (6, 10, 17), (7, 9, 16), (8, 11, 12, 13, 14)]","[8, 11, 12, 13, 14]"
F17,20,1e-06,6,"[(0, 3, 15), (1, 18, 19), (2, 4, 5), (6, 10, 17), (7, 9, 16), (8, 11, 12, 13, 14)]","[8, 11, 12, 13, 14]"
F17,20,1e-09,6,"[(0, 3, 15), (1, 18, 19), (2, 4, 5), (6, 10, 17), (7, 9, 16), (8, 11, 12, 13, 14)]","[8, 11, 12, 13, 14]"
F17,30,0.1,8,"[(0, 3, 25), (1, 6, 29), (2, 13, 28), (5, 17, 22), (8, 14, 23), (9, 18, 19), (24, 26, 27), (4, 7, 10, 11, 12, 15, 16, 20, 21)]","[4, 7, 10, 11, 12, 15, 16, 20, 21]"
F17,30,0.001,8,"[(0, 3, 25), (1, 6, 29), (2, 13, 28), (5, 17, 22), (8, 14, 23), (9, 18, 19), (24, 26, 27), (4, 7, 10, 11, 12, 15, 16, 20, 21)]","[4, 7, 10, 11, 12, 15, 16, 20, 21]"
F17,30,1e-06,8,"[(0, 3, 25), (1, 6, 29), (2, 13, 28), (5, 17, 22), (8, 14, 23), (9, 18, 19), (24, 26, 27), (4, 7, 10, 11, 12, 15, 16, 20, 21)]","[4, 7, 10, 11, 12, 15, 16, 20, 21]"
F17,30,1e-09,8,"[(0, 3, 25), (1, 6, 29), (2, 13, 28), (5, 17, 22), (8, 14, 23), (9, 18, 19), (24, 26, 27), (4, 7, 10, 11, 12, 15, 16, 20, 21)]","[4, 7, 10, 11, 12, 15, 16, 20, 21]"
F17,40,0.1,11,"[(2, 37, 39), (3, 9, 38), (5, 13, 17), (6, 21, 23), (7, 32, 33), (10, 15, 28), (12, 26, 31), (16, 34, 36), (18, 27, 29), (20, 22, 25), (0, 1, 4, 8, 11, 14, 19, 24, 30, 35)]","[0, 1, 4, 8, 11, 14, 19, 24, 30, 35]"
F17,40,0.001,11,"[(2, 37, 39), (3, 9, 38), (5, 13, 17), (6, 21, 23), (7, 32, 33), (10, 15, 28), (12, 26, 31), (16, 34, 36), (18, 27, 29), (20, 22, 25), (0, 1, 4, 8, 11, 14, 19, 24, 30, 35)]","[0, 1, 4, 8, 11, 14, 19, 24, 30, 35]"
F17,40,1e-06,11,"[(2, 37, 39), (3, 9, 38), (5, 13, 17), (6, 21, 23), (7, 32, 33), (10, 15, 28), (12, 26, 31), (16, 34, 36), (18, 27, 29), (20, 22, 25), (0, 1, 4, 8, 11, 14, 19, 24, 30, 35)]","[0, 1, 4, 8, 11, 14, 19, 24, 30, 35]"
F17,40,1e-09,11,"[(2, 37, 39), (3, 9, 38), (5, 13, 17), (6, 21, 23), (7, 32, 33), (10, 15, 28), (12, 26, 31), (16, 34, 36), (18, 27, 29), (20, 22, 25), (0, 1, 4, 8, 11, 14, 19, 24, 30, 35)]","[0, 1, 4, 8, 11, 14, 19, 24, 30, 35]"
F17,50,0.1,13,"[(1, 40, 49), (2, 27, 38), (3, 39, 46), (4, 22, 33), (5, 13, 25), (6, 24, 37), (10, 11, 28), (14, 45, 48), (15, 30, 32), (18, 26, 34), (19, 21, 36), (20, 42, 43), (0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47)]","[0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47]"
F17,50,0.001,13,"[(1, 40, 49), (2, 27, 38), (3, 39, 46), (4, 22, 33), (5, 13, 25), (6, 24, 37), (10, 11, 28), (14, 45, 48), (15, 30, 32), (18, 26, 34), (19, 21, 36), (20, 42, 43), (0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47)]","[0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47]"
F17,50,1e-06,13,"[(1, 40, 49), (2, 27, 38), (3, 39, 46), (4, 22, 33), (5, 13, 25), (6, 24, 37), (10, 11, 28), (14, 45, 48), (15, 30, 32), (18, 26, 34), (19, 21, 36), (20, 42, 43), (0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47)]","[0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47]"
F17,50,1e-09,13,"[(1, 40, 49), (2, 27, 38), (3, 39, 46), (4, 22, 33), (5, 13, 25), (6, 24, 37), (10, 11, 28), (14, 45, 48), (15, 30, 32), (18, 26, 34), (19, 21, 36), (20, 42, 43), (0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47)]","[0, 7, 8, 9, 12, 16, 17, 23, 29, 31, 35, 41, 44, 47]"
F17,60,0.1,16,"[(0, 47, 53), (2, 11, 34), (4, 22, 40), (5, 16, 31), (7, 14, 49), (8, 20, 52), (9, 39, 55), (12, 24, 46), (17, 25, 37), (18, 27, 56), (21, 23, 36), (26, 35, 59), (29, 42, 50), (30, 33, 41), (38, 48, 57), (1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58)]","[1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58]"
F17,60,0.001,16,"[(0, 47, 53), (2, 11, 34), (4, 22, 40), (5, 16, 31), (7, 14, 49), (8, 20, 52), (9, 39, 55), (12, 24, 46), (17, 25, 37), (18, 27, 56), (21, 23, 36), (26, 35, 59), (29, 42, 50), (30, 33, 41), (38, 48, 57), (1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58)]","[1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58]"
F17,60,1e-06,16,"[(0, 47, 53), (2, 11, 34), (4, 22, 40), (5, 16, 31), (7, 14, 49), (8, 20, 52), (9, 39, 55), (12, 24, 46), (17, 25, 37), (18, 27, 56), (21, 23, 36), (26, 35, 59), (29, 42, 50), (30, 33, 41), (38, 48, 57), (1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58)]","[1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58]"
F17,60,1e-09,16,"[(0, 47, 53), (2, 11, 34), (4, 22, 40), (5, 16, 31), (7, 14, 49), (8, 20, 52), (9, 39, 55), (12, 24, 46), (17, 25, 37), (18, 27, 56), (21, 23, 36), (26, 35, 59), (29, 42, 50), (30, 33, 41), (38, 48, 57), (1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58)]","[1, 3, 6, 10, 13, 15, 19, 28, 32, 43, 44, 45, 51, 54, 58]"
F17,70,0.1,18,"[(0, 15, 18), (1, 38, 58), (2, 50, 65), (3, 11, 54), (6, 24, 61), (7, 30, 51), (9, 21, 36), (10, 41, 49), (13, 25, 37), (14, 32, 57), (16, 20, 66), (19, 29, 52), (26, 27, 48), (31, 33, 42), (34, 56, 69), (43, 62, 68), (46, 60, 63), (4, 5, 8, 12, 17, 22, 23, 28, 35, 39, 40, 44, 45, 47, 53, 55, 59, 64, 67)]","[4, 5, 8, 12, 17, 22, 23, 28, 35, 39, 40, 44, 45, 47, 53, 55, 59, 64, 67]"
F17,70,0.001,18,"[(0, 15, 18), (1, 38, 58), (2, 50, 65), (3, 11, 54), (6, 24, 61), (7, 30, 51), (9, 21, 36), (10, 41, 49), (13, 25, 37), (14, 32, 57), (16, 20, 66), (19, 29, 52), (26, 27, 48), (31, 33, 42), (34, 56, 69), (43, 62, 68), (46, 60, 63), (4, 5, 8, 12, 17, 22, 23, 28, 35, 39, 40, 44, 45, 47, 53, 55, 59, 64, 67)]","[4, 5, 8, 12, 17, 22, 23, 28, 35, 39, 40, 44, 45, 47, 53, 55, 59, 64, 67]"
