FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F1,10,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
F1,10,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
F1,10,1e-06,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
F1,10,1e-09,4,"[(0, 3, 7), (1, 8), (2, 5, 9), (4, 6)]","[4, 6]"
F1,20,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F1,20,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F1,20,1e-06,4,"[(0, 4, 5, 7, 12, 19), (1, 9, 15, 16), (6, 8, 10, 11, 13, 14, 17, 18), (2, 3)]","[2, 3]"
F1,20,1e-09,4,"[(0, 4, 5, 7, 12, 19), (1, 9, 15, 16), (6, 8, 10, 11, 13, 14, 17, 18), (2, 3)]","[2, 3]"
F1,30,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F1,30,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F1,30,1e-06,3,"[(0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 15, 19, 21, 22, 23, 24, 25, 26), (27, 29), (1, 6, 10, 13, 14, 16, 17, 18, 20, 28)]","[1, 6, 10, 13, 14, 16, 17, 18, 20, 28]"
F1,30,1e-09,3,"[(0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 15, 19, 21, 22, 23, 24, 25, 26, 28), (27, 29), (1, 6, 10, 13, 14, 16, 17, 18, 20)]","[1, 6, 10, 13, 14, 16, 17, 18, 20]"
F1,40,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
F1,40,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
F1,40,1e-06,7,"[(0, 27, 37), (1, 2, 9, 12, 15, 17, 23, 25, 31), (3, 8, 10, 24, 29, 32, 36), (4, 5, 7, 16, 30, 33, 35), (11, 13, 14, 21, 26, 38), (28, 39), (6, 18, 19, 20, 22, 34)]","[6, 18, 19, 20, 22, 34]"
F1,40,1e-09,7,"[(0, 27, 37), (1, 2, 9, 12, 15, 17, 23, 25, 31), (3, 8, 10, 24, 29, 32, 36), (4, 5, 7, 16, 30, 33, 35), (11, 13, 14, 21, 26, 38), (28, 39), (6, 18, 19, 20, 22, 34)]","[6, 18, 19, 20, 22, 34]"
F1,50,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
F1,50,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
F1,50,1e-06,7,"[(0, 20, 27, 30), (1, 5, 6, 10, 12, 21, 23, 28, 33, 35, 46, 47, 49), (2, 3, 14, 16, 18, 29, 37, 39, 41, 42), (4, 8, 45), (7, 11, 19, 22, 24, 32, 40, 43, 44), (15, 17, 26, 31, 34), (9, 13, 25, 36, 38, 48)]","[9, 13, 25, 36, 38, 48]"
F1,50,1e-09,7,"[(0, 20, 27, 30), (1, 5, 6, 10, 12, 21, 23, 28, 33, 35, 46, 47, 49), (2, 3, 14, 16, 18, 29, 37, 39, 41, 42), (4, 8, 45), (7, 11, 19, 22, 24, 32, 40, 43, 44), (15, 17, 26, 31, 34), (9, 13, 25, 36, 38, 48)]","[9, 13, 25, 36, 38, 48]"
F1,60,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
F1,60,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
F1,60,1e-06,6,"[(0, 48), (2, 5, 8, 16, 23, 24, 25, 34, 36, 39, 49, 53, 55, 59), (3, 4, 6, 10, 13, 17, 18, 20, 22, 26, 31, 32, 35, 38, 41, 45, 47, 50, 54, 57), (9, 29, 42, 43), (15, 28, 46, 52), (1, 7, 11, 12, 14, 19, 21, 27, 30, 33, 37, 40, 44, 51, 56, 58)]","[1, 7, 11, 12, 14, 19, 21, 27, 30, 33, 37, 40, 44, 51, 56, 58]"
F1,60,1e-09,6,"[(0, 48), (2, 5, 8, 16, 23, 24, 25, 34, 36, 39, 49, 53, 55, 59), (3, 4, 6, 10, 13, 17, 18, 20, 22, 26, 31, 32, 35, 38, 41, 45, 47, 50, 54, 57), (9, 29, 42, 43), (15, 28, 46, 52), (1, 7, 11, 12, 14, 19, 21, 27, 30, 33, 37, 40, 44, 51, 56, 58)]","[1, 7, 11, 12, 14, 19, 21, 27, 30, 33, 37, 40, 44, 51, 56, 58]"
F1,70,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]"
