FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F5,10,0.1,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F5,10,0.001,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F5,10,1e-06,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F5,10,1e-09,7,"[(0, 2, 5, 9), (1, 7), (2, 4, 7, 8, 9), (4, 8, 9), (6, 7, 9), (8, 9), (3, 5, 7, 9)]","[3, 5, 7, 9]"
F5,20,0.1,4,"[(1, 8, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F5,20,0.001,4,"[(1, 8, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F5,20,1e-06,4,"[(1, 8, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F5,20,1e-09,16,"[(0, 2, 7, 8, 9, 15, 18), (1, 6, 8, 13, 16, 17, 18, 19), (2, 5, 7, 8, 9, 11, 14, 15, 18), (4, 7), (5, 7, 9, 15), (6, 7, 8, 9, 11, 14, 15, 18), (7, 9, 15), (8, 18, 19), (11, 15), (12, 13, 16, 18), (13, 15, 18), (14, 15), (16, 18), (17, 18), (18, 19), (3, 9, 10, 15, 19)]","[3, 9, 10, 15, 19]"
F5,30,0.1,4,"[(2, 10, 13, 28), (10, 13, 28), (13, 28), (0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F5,30,0.001,4,"[(2, 10, 13, 28), (10, 13, 28), (13, 28), (0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F5,30,1e-06,4,"[(2, 10, 13, 28), (10, 13, 28), (13, 28), (0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F5,30,1e-09,23,"[(0, 2, 6, 7, 9, 10, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29), (1, 2, 10, 18, 20, 23), (2, 10, 13, 28), (5, 6, 7, 9, 10, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29), (6, 7, 9, 10, 15, 18, 19, 20, 23, 24, 25, 26, 29), (7, 9, 10, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29), (8, 14), (9, 11, 14), (10, 13, 18, 20, 23, 28), (11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29), (12, 18, 20), (13, 28), (14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29), (15, 18, 20), (16, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29), (17, 18, 19, 20, 23, 25, 26), (18, 19, 20, 21, 23, 24, 25, 26, 27, 29), (20, 21, 23, 24, 25, 26, 27, 29), (21, 23, 24, 25, 26, 27, 29), (22, 23, 24, 25, 26, 29), (27, 29), (28, 29), (3, 4, 19, 23, 24, 25, 26, 29)]","[3, 4, 19, 23, 24, 25, 26, 29]"
F5,40,0.1,4,"[(4, 20, 22, 25), (20, 22, 25), (22, 25), (0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39)]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
F5,40,0.001,4,"[(4, 20, 22, 25), (20, 22, 25), (22, 25), (0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39)]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
