FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F7,10,0.1,2,"[(0, 1, 2, 3, 4, 6, 7, 8, 9), (5,)]",[5]
F7,10,0.001,2,"[(0, 1, 2, 3, 4, 6, 7, 8, 9), (5,)]",[5]
F7,10,1e-06,2,"[(0, 1, 2, 3, 4, 6, 7, 8, 9), (5,)]",[5]
F7,10,1e-09,2,"[(0, 1, 2, 3, 4, 6, 7, 8, 9), (5,)]",[5]
F7,20,0.1,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19), (12,)]",[12]
F7,20,0.001,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19), (12,)]",[12]
F7,20,1e-06,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19), (12,)]",[12]
F7,20,1e-09,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19), (12,)]",[12]
F7,30,0.1,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29), (12,)]",[12]
F7,30,0.001,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29), (12,)]",[12]
F7,30,1e-06,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29), (12,)]",[12]
F7,30,1e-09,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29), (12,)]",[12]
F7,40,0.1,2,"[(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39), (0,)]",[0]
