FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F11,10,0.1,2,"[(2, 4, 8, 9), (0, 1, 3, 5, 6, 7)]","[0, 1, 3, 5, 6, 7]"
F11,10,0.001,2,"[(2, 4, 8, 9), (0, 1, 3, 5, 6, 7)]","[0, 1, 3, 5, 6, 7]"
F11,10,1e-06,3,"[(0, 7), (2, 4, 8, 9), (1, 3, 5, 6)]","[1, 3, 5, 6]"
F11,10,1e-09,3,"[(0, 3, 5, 6, 7), (2, 4, 8, 9), (1,)]",[1]
F11,20,0.1,3,"[(1, 8, 18, 19), (6, 10, 13, 17), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16]"
F11,20,0.001,3,"[(1, 8, 18, 19), (6, 10, 13, 17), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16]"
F11,20,1e-06,3,"[(1, 8, 18, 19), (6, 10, 13, 17), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16]"
F11,20,1e-09,4,"[(0, 3, 5, 7, 9, 11, 12, 14, 15, 16), (1, 8, 18, 19), (6, 10, 13, 17), (2, 4)]","[2, 4]"
F11,30,0.1,4,"[(2, 13, 28), (5, 16, 17, 22), (11, 24, 26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 18, 19, 20, 21, 23, 25, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 18, 19, 20, 21, 23, 25, 29]"
F11,30,0.001,4,"[(2, 10, 13, 28), (5, 16, 17, 22), (11, 24, 26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 23, 25, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 23, 25, 29]"
F11,30,1e-06,4,"[(2, 10, 13, 28), (5, 16, 17, 22), (11, 24, 26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 23, 25, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 23, 25, 29]"
F11,30,1e-09,5,"[(0, 1, 3, 4, 6, 7, 9, 12, 15, 18, 19, 20, 21, 25, 29), (2, 10, 13, 28), (5, 16, 17, 22), (11, 24, 26, 27), (8, 14, 23)]","[8, 14, 23]"
F11,40,0.1,6,"[(2, 30, 39), (4, 20, 25), (8, 16, 34, 36), (10, 11, 15, 28), (18, 27, 29, 35), (0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 22, 23, 24, 26, 31, 32, 33, 37, 38)]","[0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 22, 23, 24, 26, 31, 32, 33, 37, 38]"
