FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F11,10,0.1,4,"[(2, 4, 8, 9), (4, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F11,10,0.001,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F11,10,1e-06,5,"[(0, 7), (2, 4, 8, 9), (4, 8, 9), (8, 9), (1, 3, 5, 6, 7, 9)]","[1, 3, 5, 6, 7, 9]"
F11,10,1e-09,8,"[(0, 3, 5, 6, 7), (2, 4, 8, 9), (3, 5, 6, 7), (4, 8, 9), (5, 6, 7), (6, 7), (8, 9), (1, 7, 9)]","[1, 7, 9]"
F11,20,0.1,7,"[(1, 8, 18, 19), (6, 10, 13, 17), (8, 18, 19), (10, 13, 17), (13, 17), (18, 19), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19]"
F11,20,0.001,7,"[(1, 8, 18, 19), (6, 10, 13, 17), (8, 18, 19), (10, 13, 17), (13, 17), (18, 19), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19]"
F11,20,1e-06,7,"[(1, 8, 18, 19), (6, 10, 13, 17), (8, 18, 19), (10, 13, 17), (13, 17), (18, 19), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19]"
F11,20,1e-09,16,"[(0, 3, 5, 7, 9, 11, 12, 14, 15, 16), (1, 8, 18, 19), (3, 5, 7, 9, 11, 12, 14, 15, 16), (5, 7, 9, 11, 12, 14, 15, 16), (6, 10, 13, 17), (7, 9, 11, 12, 14, 15, 16), (8, 18, 19), (9, 11, 12, 14, 15, 16), (10, 13, 17), (11, 12, 14, 15, 16), (12, 14, 15, 16), (13, 17), (14, 15, 16), (15, 16), (18, 19), (2, 4, 16, 17, 19)]","[2, 4, 16, 17, 19]"
F11,30,0.1,10,"[(2, 13, 28), (5, 16, 17, 22), (10, 13, 28), (11, 24, 26, 27), (13, 28), (16, 17, 22), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
F11,30,0.001,10,"[(2, 10, 13, 28), (5, 16, 17, 22), (10, 13, 28), (11, 24, 26, 27), (13, 28), (16, 17, 22), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
