FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F18,10,0.1,6,"[(1, 6), (2, 8), (3, 7), (4, 8, 9), (6, 7), (0, 5, 7, 8, 9)]","[0, 5, 7, 8, 9]"
F18,10,0.001,6,"[(1, 6), (2, 8), (3, 7), (4, 8, 9), (6, 7), (0, 5, 7, 8, 9)]","[0, 5, 7, 8, 9]"
F18,10,1e-06,7,"[(1, 6, 8), (2, 4, 8, 9), (3, 4, 6, 7, 9), (4, 8, 9), (6, 7), (8, 9), (0, 5, 7, 9)]","[0, 5, 7, 9]"
F18,10,1e-09,7,"[(1, 6, 8), (2, 4, 8, 9), (3, 4, 6, 7, 9), (4, 8, 9), (6, 7), (8, 9), (0, 5, 7, 9)]","[0, 5, 7, 9]"
F18,20,0.1,11,"[(0, 3, 15), (1, 18, 19), (2, 4, 5), (5, 14), (6, 13, 17), (7, 9, 16), (8, 19), (10, 17), (11, 16), (12, 15), (3, 4, 9, 13, 14, 15, 16, 17, 18, 19)]","[3, 4, 9, 13, 14, 15, 16, 17, 18, 19]"
F18,20,0.001,11,"[(0, 3, 15), (1, 18, 19), (2, 4, 5), (5, 14), (6, 13, 17), (7, 9, 16), (8, 19), (10, 17), (11, 16), (12, 15), (3, 4, 9, 13, 14, 15, 16, 17, 18, 19)]","[3, 4, 9, 13, 14, 15, 16, 17, 18, 19]"
F18,20,1e-06,17,"[(0, 2, 3, 5, 6, 10, 11, 15, 18), (1, 2, 4, 5, 6, 10, 17, 18, 19), (2, 4, 5, 19), (4, 5, 6, 10, 11, 17, 19), (5, 6, 10, 14, 17, 18, 19), (6, 10, 13, 17, 19), (7, 9, 11, 16), (8, 19), (9, 11), (10, 13, 17, 19), (11, 16, 18), (12, 15), (13, 17, 19), (14, 19), (17, 19), (18, 19), (3, 15, 16, 19)]","[3, 15, 16, 19]"
F18,20,1e-09,17,"[(0, 2, 3, 5, 6, 10, 11, 15, 18), (1, 2, 4, 5, 6, 10, 17, 18, 19), (2, 4, 5, 19), (4, 5, 6, 10, 11, 17, 19), (5, 6, 10, 14, 17, 18, 19), (6, 10, 13, 17, 19), (7, 9, 11, 16), (8, 19), (9, 11), (10, 13, 17, 19), (11, 16, 18), (12, 15), (13, 17, 19), (14, 19), (17, 19), (18, 19), (3, 15, 16, 19)]","[3, 15, 16, 19]"
F18,30,0.1,19,"[(0, 3, 21), (1, 29), (2, 28), (3, 25), (4, 6), (5, 16, 22), (6, 29), (7, 9), (8, 14), (9, 19), (10, 13), (11, 27), (13, 28), (14, 23), (17, 22), (18, 19), (20, 23), (24, 26, 27), (12, 15, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29)]","[12, 15, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29]"
F18,30,0.001,19,"[(0, 3, 21), (1, 29), (2, 28), (3, 25), (4, 6), (5, 16, 22), (6, 29), (7, 9), (8, 14), (9, 19), (10, 13), (11, 27), (13, 28), (14, 23), (17, 22), (18, 19), (20, 23), (24, 26, 27), (12, 15, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29)]","[12, 15, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29]"
F18,30,1e-06,22,"[(0, 3, 21, 25), (1, 2, 4, 5, 7, 9, 13, 14, 17, 22, 28, 29), (2, 4, 5, 6, 13, 14, 17, 19, 23, 24, 28, 29), (3, 25), (4, 6, 7, 9), (5, 6, 10, 14, 16, 17, 22, 23, 24, 27, 29), (6, 13, 14, 17, 22, 28, 29), (7, 9, 13, 14, 17, 22, 28), (8, 9, 11, 13, 14, 17, 22, 28), (9, 13, 14, 17, 19, 22, 28), (10, 13, 20, 22, 23, 24), (11, 20, 22, 23, 24, 27), (13, 14, 16, 17, 23, 24, 28, 29), (14, 17, 18, 22, 23, 28, 29), (17, 22, 23, 24, 27, 29), (18, 19, 22), (20, 23, 24, 27), (22, 23, 24, 28, 29), (23, 28), (24, 26, 27), (28, 29), (12, 15, 16, 19, 21, 25, 26, 27, 29)]","[12, 15, 16, 19, 21, 25, 26, 27, 29]"
F18,30,1e-09,22,"[(0, 3, 21, 25), (1, 2, 4, 5, 7, 9, 13, 14, 17, 22, 28, 29), (2, 4, 5, 6, 13, 14, 17, 19, 23, 24, 28, 29), (3, 25), (4, 6, 7, 9), (5, 6, 10, 14, 16, 17, 22, 23, 24, 27, 29), (6, 13, 14, 17, 22, 28, 29), (7, 9, 13, 14, 17, 22, 28), (8, 9, 11, 13, 14, 17, 22, 28), (9, 13, 14, 17, 19, 22, 28), (10, 13, 20, 22, 23, 24), (11, 20, 22, 23, 24, 27), (13, 14, 16, 17, 23, 24, 28, 29), (14, 17, 18, 22, 23, 28, 29), (17, 22, 23, 24, 27, 29), (18, 19, 22), (20, 23, 24, 27), (22, 23, 24, 28, 29), (23, 28), (24, 26, 27), (28, 29), (12, 15, 16, 19, 21, 25, 26, 27, 29)]","[12, 15, 16, 19, 21, 25, 26, 27, 29]"
F18,40,0.1,24,"[(0, 3), (1, 32), (2, 37, 39), (3, 38), (4, 25), (5, 13, 17), (6, 23), (7, 32, 33), (8, 36), (9, 38), (10, 15), (11, 28), (12, 26, 31), (14, 17), (15, 28), (16, 34, 36), (18, 29), (19, 21), (20, 22, 25), (21, 23), (24, 31), (27, 29, 35), (30, 39), (13, 17, 22, 23, 25, 26, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39)]","[13, 17, 22, 23, 25, 26, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
F18,40,0.001,24,"[(0, 3), (1, 32), (2, 37, 39), (3, 38), (4, 25), (5, 13, 17), (6, 23), (7, 32, 33), (8, 36), (9, 38), (10, 15), (11, 28), (12, 26, 31), (14, 17), (15, 28), (16, 34, 36), (18, 29), (19, 21), (20, 22, 25), (21, 23), (24, 31), (27, 29, 35), (30, 39), (13, 17, 22, 23, 25, 26, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39)]","[13, 17, 22, 23, 25, 26, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
