FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F3,10,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
F3,10,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
F3,10,1e-06,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
F3,10,1e-09,10,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9), (1, 2, 3, 4, 5, 6, 7, 8, 9), (2, 3, 4, 5, 6, 7, 8, 9), (3, 4, 5, 6, 7, 8, 9), (4, 5, 6, 7, 8, 9), (5, 6, 8, 9), (6, 7, 8, 9), (7, 8, 9), (8, 9), (9,)]",[9]
F3,20,0.1,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F3,20,0.001,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F3,20,1e-06,1,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
