FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F8,10,0.1,4,"[(0, 4, 8), (1, 5), (2, 9), (3, 6, 7)]","[3, 6, 7]"
F8,10,0.001,4,"[(0, 4, 8), (1, 5), (2, 9), (3, 6, 7)]","[3, 6, 7]"
F8,10,1e-06,4,"[(0, 4, 8), (1, 5), (2, 9), (3, 6, 7)]","[3, 6, 7]"
F8,10,1e-09,4,"[(0, 4, 8), (1, 5), (2, 9), (3, 6, 7)]","[3, 6, 7]"
F8,20,0.1,2,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (6, 7, 8, 18)]","[6, 7, 8, 18]"
F8,20,0.001,2,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (6, 7, 8, 18)]","[6, 7, 8, 18]"
F8,20,1e-06,2,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (6, 7, 8, 18)]","[6, 7, 8, 18]"
F8,20,1e-09,2,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (6, 7, 8, 18)]","[6, 7, 8, 18]"
F8,30,0.1,5,"[(0, 1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (3, 13, 24, 27, 29), (8, 9, 14, 17, 26), (10, 28), (11, 12, 15, 16, 19, 21)]","[11, 12, 15, 16, 19, 21]"
F8,30,0.001,5,"[(0, 1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (3, 13, 24, 27, 29), (8, 9, 14, 17, 26), (10, 28), (11, 12, 15, 16, 19, 21)]","[11, 12, 15, 16, 19, 21]"
F8,30,1e-06,5,"[(0, 1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (3, 13, 24, 27, 29), (8, 9, 14, 17, 26), (10, 28), (11, 12, 15, 16, 19, 21)]","[11, 12, 15, 16, 19, 21]"
F8,30,1e-09,5,"[(0, 1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (3, 13, 24, 27, 29), (8, 9, 14, 17, 26), (10, 28), (11, 12, 15, 16, 19, 21)]","[11, 12, 15, 16, 19, 21]"
F8,40,0.1,6,"[(0, 1, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 30, 31, 37), (2, 28), (4, 25), (8, 13, 33, 34, 36), (15, 27), (3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39)]","[3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39]"
F8,40,0.001,6,"[(0, 1, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 30, 31, 37), (2, 28), (4, 25), (8, 13, 33, 34, 36), (15, 27), (3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39)]","[3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39]"
F8,40,1e-06,6,"[(0, 1, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 30, 31, 37), (2, 28), (4, 25), (8, 13, 33, 34, 36), (15, 27), (3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39)]","[3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39]"
F8,40,1e-09,6,"[(0, 1, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 30, 31, 37), (2, 28), (4, 25), (8, 13, 33, 34, 36), (15, 27), (3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39)]","[3, 5, 6, 7, 21, 22, 23, 26, 29, 32, 35, 38, 39]"
